stop_id,arrivals,stop_name,stop_desc,stop_lat,stop_lon,degree_centrality
600012396,50,"R. Rodovalho Júnior, 637",Ref.: R Henrique De Sousa Queiros/ R Carlos Meira,-23.520526,-46.549,0.0005262906081048754
7206910,44,Av. Pe. José Maria,Ref.: Plataforma Externa Do Terminal Santo Amaro,-23.653887,-46.711394,0.001865939428735467
7206930,43,"Av. João Dias, 3400",Ref.: Rua Itapaiuna - Terminal João Dias,-23.64419,-46.734091,0.0007655136117889096
630015035,40,Benedito Chaves,"Av. Brig. Faria Lima, 1811 Ref.: R Dona Elisa Pereira De Barros/ R Iraci",-23.573286,-46.689166,0.00023922300368403425
630015034,40,Prudente Correia,"Av. Brig. Faria Lima, 2369 Ref.: Pc Buritama/ R Angelina Maffei Vita",-23.577505,-46.686513,0.0001913784029472274
190011837,39,"Estr. De Itapecerica, 3646",Ref.: R Antonio Zacharias Neto/ R Humberto Morbio,-23.657532,-46.764518,0.0011961150184201712
230009560,39,Catarino Anderata C/B,"Av. Interlagos, 6478 Ref.: R Catarino Andreatta/ Av Senador Teotonio Vilela",-23.702749,-46.701907,0.0004306014066312616
6311351,38,Parada 2 - Ferreira De Araújo,"R. Sumidouro, 238 Ref.: Rua Ferreira De Araújo / Rua Pe. Carvalho",-23.565379,-46.697932,0.0013874934213673985
450011550,38,Terminal João Dias,Ref.: Vdto Honestino Monteiro Guimaraes/ Av Alberto Augusto Alves,-23.643876,-46.733341,0.0010047366154729439
760012120,36,"Av. Mal. Tito, 1206",Ref.: R Inhabata/ R Chipue,-23.495228,-46.434539,0.00023922300368403425
7206968,35,"Av. Sto. Amaro, 7250",Ref.: Rua Nove De Julho,-23.643608,-46.700932,0.00033491220515764796
230009883,34,Interlagos B/C,"Av. Sen. Teotônio Vilela, 106 Ref.: Av Autodromo/ Av Interlagos",-23.701925,-46.701283,0.00014353380221042054
230009882,34,Jaquirana B/C,"Av. Sen. Teotônio Vilela, 465 Ref.: R Jaquirana/ Av Do Jangadeiro",-23.705632,-46.700488,0.0001913784029472274
5306677,32,Av. Pedro Alvares Cabral,Ref.: Portão 1 E 2 Do Parque Do Ibirapuera,-23.585268,-46.655766,0.00023922300368403425
800016949,32,"R. Dr. Bittencourt Rodrigues, 112",Ref.: R Venceslau Bras/ R Luis Teixeira,-23.548977,-46.631206,0.0004306014066312616
760012066,32,"Pça. Pe. Aleixo Monteiro Mafra, 19",Ref.: Av Sao Miguel/ Trav Guilherme De Aguiar,-23.492297,-46.445579,0.0002870676044208411
230016401,31,Guaiúba  B/C,"Av. Sen. Teotônio Vilela, 805 Ref.: R Guaiuba/ R Jundiazinho",-23.708653,-46.699795,0.00023922300368403425
4203817,31,"Estr. Do M Boi Mirim, 5320",Ref.: Creche Jardim Angela/hosp Jd. Angela,-23.691863,-46.776015,0.0002870676044208411
6306764,31,"R. Paes Leme, 79",Ref.: R Butanta,-23.567658,-46.696923,0.001291804219893785
860012109,31,Av. Mal. Tito,Ref.: R Tito Guimaraes Junqueira/ R Francisco Januario,-23.494623,-46.426964,0.00023922300368403425
230009824,30,Paulo Whitaker B/C,"Av. Sen. Teotônio Vilela, 1353 Ref.: R Doutor Paulo De Barros Whitaker/ R Dinazar Ferraz De Camargo",-23.713286,-46.698421,0.0002870676044208411
710000639,30,"R. Ezequiel Freire, 489",Ref.: R Ezequiel Freire/ Av Cruzeiro Do Sul,-23.501919,-46.6236,0.0011004258169465574
1009884,30,Parada 1/2/3 - Concórdia,"Av. Rangel Pestana, 2079",-23.542177,-46.615552,0.0003827568058944548
4203818,30,"Estr. Do M Boi Mirim, 5320",Ref.: Frente/hosp. Jd. Ângela -- Rua Tiquira,-23.691846,-46.77578,0.0007176690110521027
6009269,30,"Av. Amador Bueno Da Veiga, 1895",Ref.: R Manoel Jorge Ribeiro,-23.52154,-46.527812,0.00014353380221042054
800015053,30,R. Dr. Bittencourt Rodrigues (pça. Fernando Costa),Ref.: R. Dr. Bittencourt Rodrigues/ R General Carneiro,-23.546618,-46.632182,0.0010525812162097508
6009703,30,"Av. S. Miguel, 57",Ref.: Próximo A Av. Amador Bueno Da Veiga,-23.521668,-46.525978,0.00014353380221042054
760012121,30,"Av. Mal. Tito, 1514",Ref.: Av Rosaria/ R Andrelino Soares De Andrade,-23.495382,-46.431507,0.0001913784029472274
480012837,30,"R. John Harrison, 600",Ref.: R Domingos Rodrigues/ R Gago Coutinho,-23.518508,-46.708547,0.0003827568058944548
300009898,30,"Av. Da. Belmira Marin, 2858",Ref.: R Sao Caetano Do Sul/ R Joao Julio Dos Santos,-23.753608,-46.68825,0.0001913784029472274
